page_id,page_name,disclaimer,amount_spent_pen,number_of_ads
103218915010607,elprofearanda18,Karen Rosita Roman Carrasco,8129,19
117001009126,PROMSEX,PROMSEX,8084,85
2123223541294131,APP Región La Libertad,APP Región La Libertad,8036,130
1392040064393275,RUBÉN CANO,Ruben Cano,8033,69
173144229408518,RENIECPERU,Registro Nacional de Identificación y Estado Civil,7998,9
165837734193099,Pedro Morales Miranda,Acción Popular,7911,36
319226058479847,El Gallo Gronerth,Roger Gronerth,7794,101
461756940672455,Ashanti Perú - Red Peruana de Jóvenes Afrodescendientes,Marco Ramírez,7723,34
102344912019605,El Mayor Riesgo es,Jaime Jose Eduardo Freundt Lopez,7695,223
2243526259054575,Marie Ayasta,Marie Ayasta,7599,63
887873504612353,R&G Indumentaria de Higiene y Seguridad,R&G Seguridad e Higiene Industrial SAC,7478,29
1950868351861257,Leo Huayama,Stockily,7477,34
124560987619120,Imasolu: Estudios de mercado y Marketing,Enzo Vittorio Elguera Echegaray,7458,43
279474542534783,Goyo Quispe,Gregorio Bernardino Quispe Alvino,7108,77
776581735709971,Eduardo Saenz Construyendo,Eduardo Armando Saenz Faez,7085,18
112315540399875,Propuesta Paco Gavidia,Propuesta Paco Gavidia,7047,120
746974488735711,Charles Zapata,Charles Adrian Zapata Vega,7018,103
506111559721201,Mirelo Loreto,Enrique Jose Vilca Salazar,6992,20
424028077806278,KAS Perú,Konrad-Adenauer-Stiftung e.V.,6865,24
1484332041689680,Roche Perú,Michael Axel Morris Martinez,6848,84
101816778261420,Piensa.pe,These ads ran without a disclaimer,6838,31
133074956714225,Jurado Nacional de Elecciones del Perú,Jurado Nacional de Elecciones,6744,12
105835907510633,Patty Chirinos,Patty Chirinos,6729,16
101720841658652,Medaly Huaman al Congreso por Ica,Loreny Medaly Huaman Huayta,6563,37
366120717468467,Bancada Podemos Perú,Mery Nataly Gonzales Enriquez,6520,1
253615198009828,Anglo American,These ads ran without a disclaimer,6496,3
191569760893836,Chirapaq,Chirapaq Centro de Culturas Indígenas del Perú,6480,18
107912051341245,Valera Morillo,Jheslyn Misshell Valera Morillo,6234,44
236240533617906,Partido Devolucion,Partido Devolucion,6155,64
102098544497318,Alfredo Perez Alcalde 2023,Omar Alexander Lopez Vilchez,6149,30
169741473678417,Nico Talavera,Nicolas Andres Talavera Benavente,6145,146
242483566108002,Whetu,These ads ran without a disclaimer,6106,73
