,id,ad_creation_time,ad_creative_bodies,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,estimated_audience_size,impressions,page_id,page_name,publisher_platforms,lower_bound_spend,upper_bound_spend,lower_bound_impressions,upper_bound_impressions,electorales,silencio
1117,554022635575428,2021-04-09,"['Estabilidad y progreso fueron las características de mi gobierno. Hoy, el país merece salir adelante y superar esta crisis. Nosotros podemos hacerlo. Este 11 de abril marca la ⭕️ de Ollanta y del Partido Nacionalista Peruano y elige un #FuturoSeguro para el Perú 🇵🇪\n#Ollantapresidente2021']",2021-04-10,2021-04-11,Lady Johanna Bermudez Lopez,PEN,"{'lower_bound': '400', 'upper_bound': '499'}",{'lower_bound': '1000001'},"{'lower_bound': '50000', 'upper_bound': '59999'}",47446118027,Ollanta Humala Tasso,"['facebook', 'instagram']",400,499,50000,59999.0,True,True
1118,584375905871752,2021-04-09,"['La pandemia y las medidas del Gobierno han golpeado a la población. Nuestros sistemas de salud y educación, y el empleo, están devastados. Eso debe cambiar. Nosotros sabemos cómo sacar al país adelante y llevarlo hacia un #FuturoSeguro. Este 11 de abril marca la ⭕️✍️']",2021-04-10,2021-04-11,Lady Johanna Bermudez Lopez,PEN,"{'lower_bound': '400', 'upper_bound': '499'}",{'lower_bound': '1000001'},"{'lower_bound': '50000', 'upper_bound': '59999'}",47446118027,Ollanta Humala Tasso,"['facebook', 'instagram']",400,499,50000,59999.0,True,True
1119,244077307451327,2021-04-09,['¡Ni bien llegue a Palacio de Gobierno dispondré que te devuelvan tus aportes a la ONP que tanto necesitas!\n#PalabraDeUrresti #ONPDignidad #TodosJuntosLoPodemosTodo'],2021-04-09,2021-04-10,Jose Luis Urresti Eguiluz,PEN,"{'lower_bound': '6000', 'upper_bound': '6999'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},1470976356522933,Daniel Urresti,"['facebook', 'instagram']",6000,6999,1000000,,True,True
1120,502272247467056,2021-04-09,"['La crisis sanitaria ha evidenciado las dificultades que atraviesa la mujer peruana. Con el Programa Mujer Revalorada brindaremos becas, empleo, atención médica y mucho más para las mujeres del país, a partir del 28 de julio. ⭕️✍️']",2021-04-10,2021-04-11,Lady Johanna Bermudez Lopez,PEN,"{'lower_bound': '400', 'upper_bound': '499'}",{'lower_bound': '1000001'},"{'lower_bound': '60000', 'upper_bound': '69999'}",47446118027,Ollanta Humala Tasso,"['facebook', 'instagram']",400,499,60000,69999.0,True,True
1121,527235191998469,2021-04-09,"['Nuestro compromiso es que cada vez más peruanos salgan adelante, se desarrollen y tengan mejores oportunidades. Nosotros sabemos cómo hacerlo, tenemos experiencia. Juntos superaremos la crisis, reactivaremos el empleo y llevaremos al Perú hacia un #FuturoSeguro ⭕✍🏼  #OllantaPresidente2021']",2021-04-10,2021-04-11,Lady Johanna Bermudez Lopez,PEN,"{'lower_bound': '100', 'upper_bound': '199'}","{'lower_bound': '100001', 'upper_bound': '500000'}","{'lower_bound': '10000', 'upper_bound': '14999'}",47446118027,Ollanta Humala Tasso,"['facebook', 'instagram']",100,199,10000,14999.0,True,True
1122,141556654572560,2021-04-09,"['En los últimos cinco años, la crisis política y social ha golpeado a todos los peruanos. Es momento de elegir lo mejor para el país y recuperar la estabilidad, la salud, la educación y el trabajo. Juntos, este domingo 11 de abril marquemos la ⭕  y construyamos un #FuturoSeguro para el Perú. #OllantaPresidente2021']",2021-04-10,2021-04-12,Lady Johanna Bermudez Lopez,PEN,"{'lower_bound': '500', 'upper_bound': '599'}",{'lower_bound': '1000001'},"{'lower_bound': '80000', 'upper_bound': '89999'}",47446118027,Ollanta Humala Tasso,"['facebook', 'instagram']",500,599,80000,89999.0,True,True
1123,153105013393078,2021-04-09,"['Una de nuestras propuestas es acabar con la publicidad estatal para medios mermeleros, que solo se dedican a engañar y mentir a la sociedad. Con eso plata podemos invertir en educación, salud, camas uci, plantas de oxígeno, seguridad, infraestructura, etc. #BastaDeMediosMermeleros\n#VegaPresidente']",2021-04-09,2021-04-10,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '20000', 'upper_bound': '24999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",0,99,20000,24999.0,True,True
1124,151893950084713,2021-04-09,"['Una de nuestras propuestas es acabar con la publicidad estatal para medios mermeleros, que solo se dedican a engañar y mentir a la sociedad. Con eso plata podemos invertir en educación, salud, camas uci, plantas de oxígeno, seguridad, infraestructura, etc. #BastaDeMediosMermeleros\n#VegaPresidente']",2021-04-09,2021-04-10,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '100', 'upper_bound': '199'}",{'lower_bound': '1000001'},"{'lower_bound': '25000', 'upper_bound': '29999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",100,199,25000,29999.0,True,True
1125,310251500511470,2021-04-09,['¡Ni bien llegue a Palacio de Gobierno dispondré que te devuelvan tus aportes a la ONP que tanto necesitas!\n#PalabraDeUrresti #ONPDignidad #TodosJuntosLoPodemosTodo'],2021-04-09,2021-04-10,Jose Luis Urresti Eguiluz,PEN,"{'lower_bound': '100', 'upper_bound': '199'}",{'lower_bound': '1000001'},"{'lower_bound': '20000', 'upper_bound': '24999'}",1470976356522933,Daniel Urresti,"['facebook', 'instagram']",100,199,20000,24999.0,True,True
1126,1143736632737079,2021-04-09,"['Recuperemos el Perú. Basta de la explotación de nuestros recursos naturales, las transnacionales solo dejan migajas al Perú y encima contaminan al pueblo.\n#VegaPresidente\n#UnionPorElPeru']",2021-04-09,2021-04-12,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '200', 'upper_bound': '299'}",{'lower_bound': '1000001'},"{'lower_bound': '50000', 'upper_bound': '59999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",200,299,50000,59999.0,True,True
