,page_id,page_name,amount_spent_pen
129,100198778518392,Mg. Luis Gallardo Gálvez,9024
130,102016708354878,Jeri Ramon Ruffner,8999
131,2155897354682813,Justicia sin corrupción,8929
132,116832580445194,PerúCheck,8855
133,214114562821852,Noizz App,8780
134,161170137278613,Banco de Crédito BCP,8737
135,100667365286868,Asceli Rabasa 10,8712
136,478791792232903,Daniel Malpartida,8631
137,1413556535603177,Raúl Díaz Pérez,8511
138,1573884479501568,Frank Krklec,8494
139,149345658977441,Quinto Poder,8451
140,192928358020129,Carlos Calderon - Alcalde de Trujillo,8429
141,109735297111847,Noticias Perú Digital,8274
142,106180834755385,Donald Torrico Mostajo,8217
143,103218915010607,elprofearanda18,8129
144,117001009126,PROMSEX,8084
145,2123223541294131,APP Región La Libertad,8036
146,1392040064393275,RUBÉN CANO,8033
147,173144229408518,RENIECPERU,7998
148,165837734193099,Pedro Morales Miranda,7911
149,319226058479847,El Gallo Gronerth,7794
150,461756940672455,Ashanti Perú - Red Peruana de Jóvenes Afrodescendientes,7723
151,102344912019605,El Mayor Riesgo es,7695
152,2243526259054575,Marie Ayasta,7599
153,887873504612353,R&G Indumentaria de Higiene y Seguridad,7478
154,1950868351861257,Leo Huayama,7477
155,124560987619120,Imasolu: Estudios de mercado y Marketing,7458
156,279474542534783,Goyo Quispe,7108
157,776581735709971,Eduardo Saenz Construyendo,7085
158,112315540399875,Propuesta Paco Gavidia,7047
159,746974488735711,Charles Zapata,7018
160,506111559721201,Mirelo Loreto,6992
161,424028077806278,KAS Perú,6865
162,1484332041689680,Roche Perú,6848
163,101816778261420,Piensa.pe,6838
164,133074956714225,Jurado Nacional de Elecciones del Perú,6744
165,105835907510633,Patty Chirinos,6729
166,101720841658652,Medaly Huaman al Congreso por Ica,6563
167,366120717468467,Bancada Podemos Perú,6520
168,253615198009828,Anglo American,6496
169,191569760893836,Chirapaq,6480
170,107912051341245,Valera Morillo,6234
171,236240533617906,Partido Devolucion,6155
172,102098544497318,Alfredo Perez Alcalde 2023,6149
173,169741473678417,Nico Talavera,6145
174,242483566108002,Whetu,6106
175,104402974872962,Adriana Tudela al Congreso 2021,6053
176,794646070880649,Dr. Vera - Surco,6039
177,274611865891177,Verónika Mendoza,6034
178,107674917831466,Ana Cecilia Garzon,6016
179,58895017663,Banco Interamericano de Desarrollo,5987
180,104938247754336,Clara BCP,5945
181,112652230539548,Preston Melamina,5940
182,112992267268835,"Cambió Trujillo, Cambiará el Perú - CAP Presidente",5900
183,100372761998126,Enver Flores Ojeda,5878
184,1648539058728237,Gerardo Saavedra,5814
